event_id,client_id,visited
1,6,false
2,106,false
3,206,false
4,306,false
5,406,false
6,506,false
7,606,false
8,706,false
9,806,false
10,906,false
11,1006,false
12,1106,false
13,1206,false
14,1306,false
15,1406,false
16,1506,false
17,1606,false
18,1706,false
19,1806,false
20,1906,false
21,2006,false
22,2106,false
23,2206,false
24,2306,false
25,2406,false
26,2506,false
27,2606,false
28,2706,false
29,2806,false
30,2906,false
31,3006,false
32,3106,false
33,3206,false
34,3306,false
35,3406,false
36,3506,false
37,3606,false
38,3706,false
39,3806,false
40,3906,false
41,4006,false
42,4106,false
43,4206,false
44,4306,false
45,4406,false
46,4506,false
47,4606,false
48,4706,false
49,4806,false
50,4906,false
51,5006,false
52,5106,false
53,5206,false
54,5306,false
55,5406,false
56,5506,false
57,5606,false
58,5706,false
59,5806,false
60,5906,false
61,6006,false
62,6106,false
63,6206,false
64,6306,false
65,6406,false
66,6506,false
67,6606,false
68,6706,false
69,6806,false
70,6906,false
71,7006,false
72,7106,false
73,7206,false
74,7306,false
75,7406,false
76,7506,false
77,7606,false
78,7706,false
79,7806,false
80,7906,false
81,8006,false
82,8106,false
83,8206,false
84,8306,false
85,8406,false
86,8506,false
87,8606,false
88,8706,false
89,8806,false
90,8906,false
91,9006,false
92,9106,false
93,9206,false
94,9306,false
95,9406,false
1,7,false
2,107,false
3,207,false
4,307,false
5,407,false
6,507,false
7,607,false
8,707,false
9,807,false
10,907,false
11,1007,false
12,1107,false
13,1207,false
14,1307,false
15,1407,false
16,1507,false
17,1607,false
18,1707,false
19,1807,false
20,1907,false
21,2007,false
22,2107,false
23,2207,false
24,2307,false
25,2407,false
26,2507,false
27,2607,false
28,2707,false
29,2807,false
30,2907,false
31,3007,false
32,3107,false
33,3207,false
34,3307,false
35,3407,false
36,3507,false
37,3607,false
38,3707,false
39,3807,false
40,3907,false
41,4007,false
42,4107,false
43,4207,false
44,4307,false
45,4407,false
46,4507,false
47,4607,false
48,4707,false
49,4807,false
50,4907,false
51,5007,false
52,5107,false
53,5207,false
54,5307,false
55,5407,false
